windDir,windSpeed,temp,dewPoint,pressure
0,0,-1,-1,1019
0,0,-2,-2,1020
0,0,0,0,1021
0,0,11,3,1020
120,8,16,2,1018
100,5,13,3,1019
0,2,9,3,1020
0,0,8,0,1021
110,6,7,0,1021
130,4,7,-1,1022
150,17,8,3,1023
150,11,10,4,1023
130,21,11,4,1021
150,14,10,3,1021
120,12,10,3,1021
60,6,8,3,1022
50,4,5,2,1022
360,2,2,1,1022
0,0,8,2,1023
100,4,13,3,1023
0,0,14,4,1021
40,11,10,7,1022
20,3,7,5,1024
0,0,5,4,1024
0,2,6,5,1024
60,1,6,5,1024
0,2,8,5,1025
320,1,11,6,1024
0,1,16,5,1021
40,7,12,8,1021
0,0,7,6,1022
0,0,3,3,1022
0,0,3,3,1020
0,0,3,3,1019
0,0,4,4,1018
0,0,15,4,1015
120,10,16,-2,1012
150,12,14,-2,1010
160,15,10,3,1009
150,21,8,3,1007
140,19,7,4,1004
