windDir,windSpeed,temp,dewPoint,pressure
0,2,3,2,1011
310,1,2,2,1011
0,0,3,3,1011
20,5,4,4,1012
20,9,5,2,1013
40,9,5,3,1013
340,4,2,2,1015
0,1,2,2,1016
0,1,1,1,1017
0,0,0,0,1017
0,0,0,0,1018
260,1,1,1,1020
340,4,2,1,1021
0,0,3,1,1021
240,1,2,2,1023
0,1,2,1,1024
310,3,2,1,1025
0,2,2,1,1025
0,0,2,1,1026
340,4,3,1,1028
340,6,4,0,1029
340,10,4,0,1029
320,5,3,0,1030
0,1,3,0,1031
20,10,3,0,1032
30,6,1,0,1032
310,3,2,1,1032
0,1,7,7,1032
360,8,6,5,1031
350,4,6,4,1032
0,0,5,4,1032
330,2,5,3,1032
0,0,4,3,1032
0,0,4,3,1032
310,3,6,4,1033
0,0,12,4,1034
30,7,10,5,1032
20,3,7,4,1034
0,0,0,0,1034
0,0,-2,-2,1034
0,0,0,0,1035
50,1,-2,-2,1035
0,1,1,1,1036
0,0,10,5,1036
0,0,12,3,1034
290,1,7,4,1035
0,0,2,2,1035
0,0,0,0,1035
50,2,-2,-2,1035
0,0,-1,-1,1035
0,0,-1,-1,1036
0,0,2,2,1035
0,0,10,5,1032
0,0,6,4,1033
0,0,0,0,1033
0,0,-2,-2,1033
0,0,-4,-4,1032
40,1,-5,-5,1031
0,0,-3,-3,1031
0,0,8,1,1029
0,0,17,-1,1027
260,1,10,3,1027
60,1,2,0,1027
0,0,-2,-2,1027
0,0,-2,-3,1026
0,0,-3,-3,1025
0,0,1,-1,1026
0,2,14,2,1025
230,4,18,1,1023
0,0,11,2,1023
0,0,3,1,1023
0,0,-1,-1,1023
80,3,-1,-1,1023
0,0,-2,-3,1022
0,0,2,1,1023
230,3,13,3,1021
220,6,15,0,1019
230,7,10,3,1019
110,2,3,1,1019
60,3,0,-1,1020
0,1,2,0,1019
0,0,3,0,1020
220,8,7,2,1021
220,10,12,3,1021
220,11,15,3,1019
210,7,12,3,1020
210,3,8,3,1022
0,0,2,1,1023
60,3,0,-1,1022
60,3,-1,-1,1023
80,2,4,2,1023
240,6,14,4,1022
230,8,14,2,1019
240,7,9,3,1019
0,0,8,3,1020
0,1,3,1,1020
0,0,3,2,1019
230,10,6,1,1019
240,3,7,3,1020
220,11,13,4,1019
220,12,14,2,1017
240,7,11,1,1017
250,8,10,2,1018
0,0,6,1,1019
30,2,1,0,1019
0,0,-2,-2,1020
0,1,3,2,1021
0,0,7,5,1021
0,0,9,6,1020
70,3,7,5,1019
0,0,2,2,1018
60,1,-1,-1,1016
0,2,0,0,1014
240,5,3,2,1011
220,5,7,3,1010
230,5,8,3,1008
230,9,10,3,1005
310,5,5,4,1007
0,0,3,2,1010
0,2,1,0,1010
220,5,3,1,1011
210,13,6,0,1011
240,16,8,-1,1009
230,10,6,-1,1007
190,8,6,-1,1005
220,11,7,2,1003
0,2,6,3,1002
260,4,6,3,1001
280,1,5,3,1001
230,5,8,4,1000
230,10,8,4,998
250,9,6,4,999
250,7,5,3,1000
0,2,3,2,1000
240,5,3,0,998
220,8,4,1,996
130,5,6,-1,994
220,20,10,0,992
230,17,12,1,991
210,16,10,0,990
210,5,6,4,990
230,13,5,0,991
0,0,3,1,992
0,0,3,2,994
220,8,4,2,997
220,12,7,1,999
250,3,9,0,1000
320,6,7,1,1005
0,1,6,3,1009
0,1,5,3,1012
240,4,4,3,1013
260,3,4,3,1014
230,8,7,3,1015
210,13,9,2,1015
220,12,11,2,1014
240,9,8,2,1015
220,6,8,5,1015
240,12,9,5,1014
210,4,9,5,1013
230,9,9,6,1013
40,2,8,7,1014
110,3,9,8,1014
0,0,9,8,1014
120,1,8,7,1016
320,1,6,6,1016
0,0,3,3,1016
0,0,4,4,1016
0,0,4,4,1017
0,2,4,4,1018
80,1,7,7,1018
210,3,12,4,1016
0,1,10,5,1016
340,4,7,5,1018
0,0,3,3,1019
240,6,5,3,1020
230,8,5,3,1020
230,8,6,4,1021
230,7,7,5,1020
260,7,8,6,1016
0,0,9,7,1016
310,8,10,9,1016
310,15,12,9,1016
320,18,11,8,1017
0,4,11,7,1018
0,2,8,8,1019
310,13,11,8,1019
350,7,9,8,1023
290,6,9,7,1025
300,3,11,8,1026
360,8,12,7,1025
50,4,10,8,1026
20,5,9,8,1027
0,0,8,7,1028
0,0,8,7,1027
0,0,8,7,1027
0,0,9,7,1029
60,4,12,5,1029
40,8,12,6,1028
40,3,9,6,1029
0,0,6,5,1030
