tilt,prec,rad
110.0,220.0,0.425937181883
110.0,220.0,0.419881567505
110.0,220.0,0.413831498477
110.0,220.0,0.407787018558
110.0,220.0,0.401748171427
110.0,220.0,0.395715000678
110.0,220.0,0.389687549827
110.0,220.0,0.383665862305
110.0,220.0,0.377649981463
110.0,220.0,0.371639950565
110.0,220.0,0.365635812797
110.0,220.0,0.359637611257
110.0,220.0,0.353645388962
110.0,220.0,0.347659188844
110.0,220.0,0.341679053749
110.0,220.0,0.33570502644
110.0,220.0,0.329737149594
110.0,220.0,0.323775465801
110.0,220.0,0.317820017568
110.0,220.0,0.311870847314
110.0,220.0,0.30592799737
110.0,220.0,0.299991509983
110.0,220.0,0.294061427311
110.0,220.0,0.288137791424
110.0,220.0,0.282220644305
110.0,220.0,0.276310027848
110.0,220.0,0.270405983859
120.0,220.0,0.264508554055
120.0,220.0,0.258617780064
120.0,220.0,0.252733703423
120.0,220.0,0.24685636558
120.0,220.0,0.240985807893
120.0,220.0,0.23512207163
120.0,220.0,0.229265197966
120.0,220.0,0.223415227987
120.0,220.0,0.217572202686
120.0,220.0,0.211736162965
120.0,220.0,0.205907149633
120.0,220.0,0.200085203406
120.0,220.0,0.19427036491
120.0,220.0,0.188462674675
120.0,220.0,0.182662173138
120.0,220.0,0.176868900643
120.0,220.0,0.17108289744
120.0,230.0,0.165304203684
120.0,230.0,0.159532859435
120.0,230.0,0.153768904658
120.0,230.0,0.148012379224
120.0,230.0,0.142263322906
120.0,230.0,0.136521775384
120.0,230.0,0.13078777624
120.0,230.0,0.125061364958
120.0,230.0,0.119342580928
120.0,230.0,0.11363146344
120.0,230.0,0.107928051689
120.0,230.0,0.102232384772
120.0,230.0,0.0965445016846
120.0,230.0,0.0908644413279
120.0,230.0,0.0851922425024
120.0,230.0,0.0795279439099
120.0,230.0,0.0738715841529
120.0,230.0,0.0682232017343
120.0,230.0,0.0625828350569
120.0,230.0,0.0569505224237
120.0,230.0,0.0513263020368
120.0,230.0,0.0457102119976
120.0,230.0,0.0401022903065
120.0,230.0,0.0345025748625
120.0,230.0,0.0289111034629
120.0,230.0,0.023327913803
120.0,230.0,0.0177530434758
120.0,230.0,0.0121865299719
120.0,230.0,0.00662841067895
120.0,230.0,0.00107872288153
120.0,230.0,-0.00446249623922
120.0,230.0,-0.0099952096058
120.0,230.0,-0.0155193802447
120.0,230.0,-0.0210349712867
120.0,230.0,-0.0265419459671
120.0,230.0,-0.032040267626
120.0,230.0,-0.0375298997085
120.0,230.0,-0.0430108057653
120.0,230.0,-0.0484829494526
120.0,230.0,-0.0539462945326
120.0,230.0,-0.0594008048735
120.0,230.0,-0.0648464444503
120.0,230.0,-0.0702831773444
120.0,230.0,-0.0757109677446
120.0,230.0,-0.0811297799467
120.0,230.0,-0.0865395783542
120.0,230.0,-0.0919403274783
120.0,230.0,-0.0973319919385
120.0,230.0,-0.102714536462
120.0,230.0,-0.108087925887
120.0,230.0,-0.113452125156
120.0,230.0,-0.118807099326
120.0,230.0,-0.12415281356
120.0,230.0,-0.129489233131
120.0,230.0,-0.134816323423
120.0,230.0,-0.140134049929
120.0,230.0,-0.145442378254
120.0,230.0,-0.150741274113
120.0,230.0,-0.156030703332
120.0,240.0,-0.161310631848
120.0,240.0,-0.166581025708
120.0,240.0,-0.171841851075
120.0,240.0,-0.177093074219
120.0,240.0,-0.182334661526
120.0,240.0,-0.187566579493
120.0,240.0,-0.192788794729
120.0,240.0,-0.198001273958
120.0,240.0,-0.203203984015
120.0,240.0,-0.20839689185
120.0,240.0,-0.213579964526
120.0,240.0,-0.21875316922
120.0,240.0,-0.223916473225
120.0,240.0,-0.229069843945
120.0,240.0,-0.234213248901
120.0,240.0,-0.239346655729
120.0,240.0,-0.24447003218
130.0,240.0,-0.24958334612
130.0,240.0,-0.25468656553
130.0,240.0,-0.259779658508
130.0,240.0,-0.264862593268
130.0,240.0,-0.26993533814
130.0,240.0,-0.27499786157
130.0,240.0,-0.280050132123
130.0,240.0,-0.285092118478
130.0,240.0,-0.290123789434
130.0,240.0,-0.295145113905
130.0,240.0,-0.300156060924
130.0,240.0,-0.305156599644
130.0,240.0,-0.310146699331
130.0,240.0,-0.315126329375
130.0,240.0,-0.320095459281
130.0,240.0,-0.325054058674
130.0,240.0,-0.330002097298
130.0,240.0,-0.334939545016
130.0,240.0,-0.339866371812
130.0,240.0,-0.344782547786
130.0,240.0,-0.349688043162
130.0,240.0,-0.354582828282
130.0,240.0,-0.359466873609
130.0,240.0,-0.364340149726
130.0,240.0,-0.369202627337
130.0,240.0,-0.374054277268
130.0,240.0,-0.378895070463
130.0,240.0,-0.383724977992
130.0,240.0,-0.388543971043
130.0,240.0,-0.393352020927
130.0,240.0,-0.398149099077
130.0,240.0,-0.402935177049
130.0,240.0,-0.407710226519
130.0,240.0,-0.412474219288
130.0,240.0,-0.417227127279
130.0,240.0,-0.421968922538
130.0,240.0,-0.426699577233
130.0,240.0,-0.431419063658
130.0,240.0,-0.436127354228
130.0,240.0,-0.440824421484
130.0,240.0,-0.445510238088
130.0,240.0,-0.45018477683
130.0,240.0,-0.45484801062
130.0,250.0,-0.459499912497
130.0,250.0,-0.46414045562
130.0,250.0,-0.468769613278
130.0,250.0,-0.473387358881
130.0,250.0,-0.477993665966
130.0,250.0,-0.482588508196
130.0,250.0,-0.487171859357
130.0,250.0,-0.491743693364
130.0,250.0,-0.496303984256
130.0,250.0,-0.500852706199
130.0,250.0,-0.505389833486
130.0,250.0,-0.509915340534
