ArrDelay,Distance,ctime,cwday,cdate
16.0,2586,315.0,205,10
35.0,2586,315.0,257,10
36.0,2586,315.0,51,10
32.0,2586,315.0,102,10
42.0,2586,315.0,205,20
22.0,2586,315.0,257,20
31.0,2586,315.0,0,20
135.0,2586,315.0,51,20
48.0,2586,315.0,102,20
20.0,2586,315.0,205,20
2.0,2586,315.0,0,30
356.0,2586,315.0,102,30
17.0,2586,315.0,205,30
13.0,2586,0.0,102,0
2.0,2586,0.0,154,0
167.0,2586,0.0,257,0
34.0,2586,0.0,308,0
44.0,2586,0.0,102,10
139.0,2586,0.0,154,10
5.0,2586,0.0,51,10
18.0,2586,0.0,102,10
11.0,2586,0.0,154,20
1.0,2586,0.0,257,20
86.0,2586,0.0,51,20
13.0,2586,0.0,257,20
8.0,2586,90.0,102,0
7.0,2586,90.0,154,0
82.0,2586,90.0,308,0
8.0,2586,90.0,0,10
4.0,2475,210.0,154,0
23.0,2475,210.0,205,0
52.0,2475,210.0,257,0
17.0,2475,240.0,102,0
5.0,2475,240.0,308,0
1.0,2475,240.0,205,10
16.0,2475,240.0,257,10
7.0,2475,240.0,51,10
155.0,2475,240.0,257,20
60.0,2475,240.0,308,20
62.0,2475,240.0,51,20
15.0,2475,240.0,257,20
165.0,2475,0.0,154,0
4.0,2475,0.0,205,0
52.0,2475,0.0,257,0
85.0,2475,0.0,308,0
6.0,2475,0.0,51,10
2.0,2475,0.0,154,10
23.0,2475,0.0,205,10
45.0,2475,0.0,51,10
23.0,2475,0.0,102,10
12.0,2475,0.0,257,20
5.0,2475,90.0,102,0
13.0,2475,90.0,205,0
38.0,2475,90.0,257,0
53.0,2475,90.0,0,10
3.0,2475,90.0,51,10
23.0,2475,90.0,205,10
3.0,2475,90.0,257,10
3.0,2475,90.0,308,10
229.0,2475,90.0,0,10
21.0,2475,90.0,51,10
9.0,2475,90.0,102,10
4.0,2475,90.0,205,20
18.0,2475,90.0,257,20
32.0,2475,90.0,0,20
1.0,2475,90.0,51,20
112.0,2475,90.0,205,20
6.0,2475,90.0,0,30
6.0,2475,90.0,205,30
7.0,2475,120.0,154,0
13.0,2475,120.0,205,0
27.0,2475,120.0,0,10
65.0,2586,90.0,51,10
30.0,2586,90.0,102,10
33.0,2586,90.0,154,10
57.0,2586,90.0,205,10
283.0,2586,90.0,0,10
20.0,2586,90.0,51,10
28.0,2586,90.0,102,10
148.0,2586,90.0,154,20
21.0,2586,90.0,205,20
51.0,2586,90.0,257,20
10.0,2586,90.0,0,20
101.0,2586,90.0,51,20
17.0,2586,90.0,102,20
35.0,2586,90.0,257,20
33.0,2586,90.0,0,30
29.0,2586,90.0,205,30
28.0,2475,330.0,51,10
2.0,2475,330.0,205,20
56.0,2475,330.0,257,20
42.0,2475,330.0,308,20
24.0,2475,330.0,0,20
33.0,2475,330.0,51,20
264.0,2475,330.0,102,20
7.0,2475,330.0,308,30
5.0,2475,330.0,0,30
69.0,2475,330.0,51,30
54.0,2475,330.0,205,30
1.0,2475,210.0,154,10
19.0,2475,210.0,205,10
2.0,2475,210.0,257,10
27.0,2475,210.0,308,10
41.0,2475,210.0,51,10
3.0,2475,210.0,205,20
21.0,2475,210.0,308,20
68.0,2475,210.0,51,20
10.0,2475,210.0,102,20
9.0,2475,285.0,102,0
11.0,2475,285.0,154,0
43.0,2475,285.0,257,0
13.0,2475,285.0,308,0
29.0,2475,285.0,154,10
28.0,2475,285.0,205,10
90.0,2475,285.0,257,10
1.0,2475,285.0,308,10
18.0,2475,285.0,0,10
44.0,2475,285.0,51,10
48.0,2475,285.0,102,10
22.0,2475,285.0,154,20
49.0,2475,285.0,205,20
14.0,2475,285.0,308,20
21.0,2475,285.0,0,20
38.0,2475,285.0,51,20
29.0,2475,285.0,102,20
9.0,2475,285.0,154,20
10.0,2475,285.0,205,20
15.0,2475,285.0,257,20
6.0,2475,285.0,51,30
31.0,2475,285.0,102,30
16.0,2475,285.0,205,30
47.0,2586,300.0,154,0
74.0,2586,300.0,205,0
105.0,2586,300.0,308,0
26.0,2586,300.0,0,10
14.0,2586,300.0,51,10
32.0,2586,300.0,102,10
3.0,2586,300.0,205,10
101.0,2586,300.0,257,10
3.0,2586,315.0,308,10
20.0,2586,300.0,51,10
53.0,2586,300.0,102,10
9.0,2586,300.0,154,20
64.0,2586,300.0,205,20
52.0,2586,300.0,308,20
23.0,2586,300.0,0,20
71.0,2586,300.0,51,20
16.0,2586,300.0,102,20
9.0,2586,300.0,154,20
34.0,2586,300.0,205,20
114.0,2586,300.0,257,20
8.0,2586,300.0,51,30
6.0,2586,300.0,102,30
15.0,2586,300.0,154,30
19.0,2586,300.0,205,30
27.0,2475,315.0,154,0
18.0,2475,315.0,257,0
10.0,2475,315.0,0,10
5.0,2475,315.0,102,10
44.0,2475,315.0,205,10
39.0,2475,315.0,257,10
73.0,2475,315.0,51,10
17.0,2475,315.0,102,10
13.0,2475,315.0,205,20
17.0,2475,315.0,257,20
10.0,2475,315.0,308,20
23.0,2475,315.0,0,20
1.0,2475,315.0,308,30
22.0,2475,315.0,0,30
89.0,2586,285.0,154,0
283.0,2586,285.0,257,0
10.0,2586,285.0,51,10
164.0,2586,285.0,257,10
3.0,2586,285.0,0,10
37.0,2586,285.0,51,10
16.0,2586,285.0,154,20
12.0,2586,285.0,205,20
62.0,2586,285.0,308,20
5.0,2586,285.0,0,20
118.0,2586,285.0,51,20
15.0,2586,285.0,257,20
3.0,2586,285.0,308,30
32.0,2586,285.0,0,30
20.0,2586,285.0,205,30
18.0,2248,285.0,102,0
11.0,2248,105.0,102,0
40.0,2248,285.0,154,0
1.0,2248,0.0,154,0
18.0,2248,105.0,154,0
15.0,2153,240.0,154,0
25.0,2153,345.0,154,0
82.0,2153,75.0,154,0
10.0,2153,240.0,205,0
73.0,2248,285.0,257,0
27.0,2248,0.0,257,0
4.0,2248,0.0,308,0
27.0,2248,105.0,308,0
64.0,2153,300.0,308,0
21.0,2248,0.0,0,10
8.0,2248,285.0,51,10
8.0,2153,240.0,51,10
29.0,2248,285.0,102,10
3.0,2248,0.0,102,10
19.0,2153,345.0,102,10
32.0,2153,75.0,102,10
54.0,2248,285.0,154,10
6.0,2248,105.0,154,10
30.0,2248,285.0,205,10
73.0,2248,105.0,205,10
4.0,2153,240.0,205,10
66.0,2153,345.0,205,10
118.0,2248,285.0,257,10
2.0,2153,240.0,257,10
12.0,2153,240.0,308,10
9.0,2248,0.0,0,10
24.0,2153,240.0,0,10
5.0,2153,345.0,0,10
15.0,2248,285.0,51,10
1.0,2248,0.0,51,10
17.0,2153,240.0,51,10
9.0,2153,345.0,51,10
13.0,2248,285.0,102,10
13.0,2248,0.0,102,10
114.0,2153,240.0,102,10
9.0,2153,345.0,102,10
27.0,2248,285.0,154,20
28.0,2153,345.0,154,20
24.0,2248,285.0,205,20
29.0,2153,75.0,205,20
29.0,2248,285.0,257,20
21.0,2248,105.0,257,20
4.0,2248,285.0,308,20
7.0,2153,240.0,0,20
23.0,2248,285.0,102,20
18.0,2248,0.0,102,20
1.0,2153,240.0,102,20
5.0,2248,285.0,154,20
5.0,2248,285.0,205,20
8.0,2153,75.0,257,20
7.0,2153,345.0,308,30
45.0,2248,285.0,0,30
40.0,2248,0.0,0,30
64.0,2248,105.0,0,30
13.0,2153,240.0,0,30
45.0,2153,345.0,0,30
20.0,2153,240.0,154,30
24.0,2248,285.0,205,30
22.0,2248,105.0,205,30
38.0,2153,345.0,205,30
8.0,1005,210.0,102,10
19.0,760,285.0,154,20
1.0,2248,225.0,154,20
27.0,2475,225.0,154,20
21.0,760,240.0,154,20
